id,target,context
25288,previous year,H04
25289,previously boiled water,H04
25290,previously captured,H04
25291,previously captured by image device,H04
25292,previously stored image,H04
25293,send captured image,H04
25294,static image,H04
25295,subject,H04
25296,title image,H04
25297,transmit captured image,H04
25298,two dimensional image,H04
25299,user,H04
25300,video file,H04
25301,closed containers,B67
25302,deliver by pump,B67
25303,generate by pump,B67
25304,guide rod,B67
25305,hand operated,B67
25306,liquid servicing systems,B67
25307,make by pump,B67
25308,produce by motor pump,B67
25309,produce by pump,B67
25310,produce in pump,B67
25311,produce nuclear energy,B67
25312,produce pump,B67
25313,produce pump beam,B67
25314,produce radiation,B67
25315,produce waste energy,B67
25316,produced by pump,B67
25317,pump blood,B67
25318,pump programmer,B67
25319,pump system,B67
25320,siphoning system,B67
25321,sparkler nozzle,B67
25322,supplied by pump,B67
25323,syringe pump,B67
25324,biochemical products,C12
25325,biotechnology,C12
25326,electrolytic cell,C12
25327,encode by dna,C12
25328,encode by dna molecule,C12
25329,encode by dna sequence,C12
25330,human recombinant growth hormone,C12
25331,human recombinant hepatitis b vaccine,C12
25332,make by rdna technology,C12
25333,make money,C12
25334,medicine,C12
25335,nucleophilic addition reaction,C12
25336,nucleophilic elimination reaction,C12
25337,prepare food,C12
25338,prepare with hybrid dna tech,C12
25339,produce by dna technology,C12
25340,produce by genetic recombination,C12
25341,produce by molecular cloning of dna,C12
25342,produce by technology,C12
25343,produce dna,C12
25344,produce offsprings,C12
25345,rdna technology,C12
25346,recombinant communicator proteins,C12
25347,recombinant dna technology,C12
25348,transgenic animals,C12
25349,use recombinant dna technology,C12
25350,aromatic compounds,C01
25351,beverages,C01
25352,biogas,C01
25353,compound dehydration,C01
25354,compound purification,C01
25355,convert to liquid hydrocarbons,C01
25356,form carbon,C01
25357,form carbon dioxide,C01
25358,form co,C01
25359,form co carbon,C01
25360,form co carbon dioxide,C01
25361,form co dioxide,C01
25362,form hydrocarbons,C01
25363,form methanol,C01
25364,generate hydrocarbons,C01
25365,generate liquid hydrocarbons,C01
25366,generate oily liquid,C01
25367,hydraulic pump,C01
25368,liquid asset,C01
25369,liquid hydrocarbons,C01
25370,liquid hydrocarbons are the end products,C01
25371,liquid hydrocarbons production,C01
25372,liquid nitrogen,C01
25373,liquid state,C01
25374,make liquid propane,C01
25375,normally liquid hydrocarbons,C01
25376,oily skin,C01
25377,prepare hexane,C01
25378,produce aromatic hydrocarbons,C01
25379,produce benzene,C01
25380,produce carbon,C01
25381,produce carbon dioxide,C01
25382,produce co,C01
25383,produce co carbon,C01
25384,produce co carbon dioxide,C01
25385,produce co dioxide,C01
25386,produce from hydrocarbons,C01
25387,produce hydrocarbons,C01
25388,produce liquid crystal panel,C01
25389,produce liquid fraction,C01
25390,produce liquid product,C01
25391,produce liquid products,C01
25392,produce methanol,C01
25393,produce organic products,C01
25394,recovery of chemical,C01
25395,compound dehydration,C10
25396,compound purification,C10
25397,convert to liquid hydrocarbons,C10
25398,form a aqueous effluent,C10
25399,form a aqueous stream,C10
25400,form a effluent,C10
25401,form a stream,C10
25402,form a treated effluent,C10
25403,form a treated stream,C10
25404,form an aqueous effluent,C10
25405,form an aqueous stream,C10
25406,form an effluent,C10
25407,form an stream,C10
25408,form an treated effluent,C10
25409,form an treated stream,C10
25410,form effluent,C10
25411,form water,C10
25412,generate oily liquid,C10
25413,hydrophobic nature,C10
25414,liquid asset,C10
25415,liquid detergent,C10
25416,liquid hand wash,C10
25417,liquid hydrocarbons,C10
25418,liquid nitrogen,C10
25419,liquid state,C10
25420,make liquid hydrocarbons,C10
25421,make liquid propane,C10
25422,normally liquid hydrocarbons,C10
25423,oily skin,C10
25424,oxidation reaction,C10
25425,prepare hexane,C10
25426,produce a aqueous effluent,C10
25427,produce a aqueous stream,C10
25428,produce a effluent,C10
25429,produce a stream,C10
25430,produce a treated effluent,C10
25431,produce a treated stream,C10
25432,produce an aqueous effluent,C10
25433,produce an aqueous stream,C10
25434,produce an effluent,C10
25435,produce an stream,C10
25436,produce an treated effluent,C10
25437,produce an treated stream,C10
25438,produce aromatic hydrocarbons,C10
25439,produce benzene,C10
25440,produce effluent,C10
25441,produce from hydrocarbons,C10
25442,produce hydrocarbons,C10
25443,produce liquid crystal panel,C10
25444,produce liquid fraction,C10
25445,produce liquid hydrides,C10
25446,produce liquid hydrogen and carbon mixtures,C10
25447,produce liquid organic compound,C10
25448,produce liquid product,C10
25449,produce liquid products,C10
25450,produce water,C10
25451,recovery of chemical,C10
25452,apparatus for setting blind rivets,B05
25453,banding machine,B05
25454,create thin layers,B05
25455,forming thin layers,B05
25456,generate thin layers,B05
25457,layer normalization,B05
25458,multi layers produced,B05
25459,nanoparticles,B05
25460,produce enzymes,B05
25461,produce in layers,B05
25462,produce layers,B05
25463,produce pollen grains,B05
25464,produce thick layers,B05
25465,produce thin film,B05
25466,produce thin film transistor,B05
25467,produce thin films,B05
25468,produce thin layers,B05
25469,producing layers,B05
25470,production of thin layers,B05
25471,rust preventive coating,B05
25472,skin layer,B05
25473,thin layer chromatography,B05
25474,thin layers produced,B05
25475,thin skin,B05
25476,water thinnable basecoat,B05
25477,agricultural produce,G01
25478,cake layers,G01
25479,controllable functional layers,G01
25480,electronic device wafer,G01
25481,generate less diameter membrane,G01
25482,layer protocols,G01
25483,multilayer semiconductor wafer,G01
25484,non produce thin layer,G01
25485,overlay,G01
25486,produce in layers,G01
25487,produce layers,G01
25488,produce thin film,G01
25489,produce thin film transistor,G01
25490,produce thin films,G01
25491,semiconductor fabrication process,G01
25492,semiconductor structures,G01
25493,sheet producer,G01
25494,thick constituent layers,G01
25495,thick photoresist layers,G01
25496,thin coating maker,G01
25497,thin line,G01
25498,two layer,G01
25499,vapor deposition,G01
25500,direct onto surface,B03
25501,lay onto surface,B03
25502,brain surface area,B29
25503,butt joint,B29
25504,injection molding,B29
25505,ocular surface,B29
25506,project light onto surface,B29
25507,project onto exterior,B29
25508,project onto plane,B29
25509,project onto surface,B29
25510,project over surface,B29
25511,project theory of action,B29
25512,projecting on a surface,B29
25513,projecting system,B29
25514,projector headlamp,B29
25515,propose onto surface,B29
25516,release onto surface,B29
25517,resin inlet tube,B29
25518,surface communication,B29
25519,surface irrigation,B29
25520,thermoplastic resin molded article,B29
25521,tire building machine,B29
25522,tool face,B29
25523,attach onto surface,C04
25524,attach onto surface,D06
25525,area of circle,G03
25526,design,G03
25527,direct onto surface,G03
25528,display unit area,G03
25529,disposing,G03
25530,disposing onto surface,G03
25531,image light reflection area,G03
25532,irridation,G03
25533,optical plate surface,G03
25534,plan onto surface,G03
25535,project file submission,G03
25536,project management,G03
25537,projecting unit,G03
25538,projection onto surface,G03
25539,projection structures,G03
25540,release date,G03
25541,release onto surface,G03
25542,screen,G03
25543,surface book,G03
25544,surface integral,G03
25545,surface protrusion,G03
25546,lay onto surface,G09
25547,alignment tool,B23
25548,annealing apparatus,B23
25549,annealing irradiation method,B23
25550,annealing method,B23
25551,beam apparatus,B23
25552,beam apparatus method,B23
25553,beam even,B23
25554,beam irradiation apparatus,B23
25555,beam irradiation method,B23
25556,beam method,B23
25557,elongated shaft,B23
25558,glaucoma testing method,B23
25559,hydraulically operated clamping device,B23
25560,irradiating apparatus,B23
25561,irradiating method,B23
25562,irradiation annealing method,B23
25563,irradiation apparatus,B23
25564,irradiation apparatus method,B23
25565,irradiation method,B23
25566,machine,B23
25567,method of projecting,B23
25568,milling head,B23
25569,painting method,B23
25570,piston rings,B23
25571,planting method,B23
25572,projection approach,B23
25573,projection device,B23
25574,projection exposure method,B23
25575,projection lens,B23
25576,projection matrix,B23
25577,projection method,B23
25578,projection procedure,B23
25579,projection process,B23
25580,projection psychology,B23
25581,projection technique,B23
25582,scanning beam,B23
25583,scanning method,B23
25584,switchable workpiece drum,B23
25585,accurate projection,G04
25586,apparatus method,G04
25587,device repair,G04
25588,filtering inversing projection,G04
25589,image,G04
25590,image reconstruction method,G04
25591,image reconstruction technique,G04
25592,inversing projection,G04
25593,measurement apparatus,G04
25594,measurement method,G04
25595,measuring apparatus,G04
25596,measuring method,G04
25597,measuring scale,G04
25598,method apparatus,G04
25599,method of apparatus,G04
25600,process flow,G04
25601,process override,G04
25602,project plane,G04
25603,project profile,G04
25604,projection,G04
25605,projection exposure method,G04
25606,projection plane,G04
25607,projection process,G04
25608,projector,G04
25609,reverse osmosis,G04
25610,reverse projection,G04
25611,time dependent,G04
25612,video device,G04
25613,coding,G01
25614,compiler,G01
25615,computer programming,G01
25616,graphical feedback,G01
25617,header,G01
25618,high level computer language,G01
25619,knowledge building system,G01
25620,language,G01
25621,language identification,G01
25622,listen language,G01
25623,logic programming language,G01
25624,low level language,G01
25625,non prolog,G01
25626,nt prolog exhgeck chip,G01
25627,payload,G01
25628,preamble,G01
25629,prolog game,G01
25630,prolog programming,G01
25631,prolog signal,G01
25632,prolog video,G01
25633,prologue of poem,G01
25634,prologue to the book,G01
25635,structured programming,G01
25636,trailer,G01
25637,transfer of prolog,G01
25638,translated speech,G01
25639,prolog programming language,G06
25640,bottle code,H03
25641,c language,H03
25642,code words,H03
25643,compiler,H03
25644,computer programming,H03
25645,dictionary,H03
25646,engine oil,H03
25647,header,H03
25648,java,H03
25649,language compiler,H03
25650,local language,H03
25651,machine coding,H03
25652,machine oil,H03
25653,message prolog,H03
25654,processing window,H03
25655,programming language,H03
25656,prolog coding,H03
25657,prolog engine,H03
25658,prolog programming,H03
25659,prolog programming language,H03
25660,prolog stage,H03
25661,prolog syntax,H03
25662,sliding window,H03
25663,source code,H03
25664,stage decoration,H03
25665,window,H03
25666,automatic step change gear,F16
25667,double acting master cylinder,F16
25668,durability lifetime,F16
25669,extending,F16
25670,lengthen span,F16
25671,maintenance gap,F16
25672,prolong a span of part,F16
25673,prolong length,F16
25674,prolong life span,F16
25675,prolong span,F16
25676,prolong span augment direction,F16
25677,prolong tablet,F16
25678,prolonged illness,F16
25679,prolonged release tablets,F16
25680,prolonged segment,F16
25681,service life,F16
25682,span algorithm,F16
25683,span of control,F16
25684,substantial prolongation,F16
25685,top up reservoir,F16
25686,appropriate ordering,A63
25687,balance,A63
25688,correct order,A63
25689,court order,A63
25690,customised items,A63
25691,desired order,A63
25692,equilibrium,A63
25693,equilibrium balance,A63
25694,following chronology,A63
25695,following pattern,A63
25696,following segment,A63
25697,food order,A63
25698,government order,A63
25699,improper listing,A63
25700,judicial order,A63
25701,optimal limit,A63
25702,proper arrangement,A63
25703,proper chain,A63
25704,proper course,A63
25705,proper cycle,A63
25706,proper fraction,A63
25707,proper series,A63
25708,proper working order,A63
25709,property tax,A63
25710,sequence,A63
25711,stable balance,A63
25712,stable equilibrium,A63
25713,appropriate arrangement,H04
25714,appropriate order,H04
25715,aptly positioned,H04
25716,correct order,H04
25717,court order,H04
25718,disarranged data,H04
25719,disarranged fibers,H04
25720,disarranged winding,H04
25721,good condition,H04
25722,good mode,H04
25723,improper order,H04
25724,order,H04
25725,order please,H04
25726,original sequence order,H04
25727,proper conduct,H04
25728,proper sequence,H04
25729,proper subset,H04
25730,proper working order,H04
25731,queue,H04
25732,re order,H04
25733,re sequence,H04
25734,right order,H04
25735,sequence,H04
25736,sequence order,H04
25737,time ordering,H04
25738,timestamp order,H04
25739,trouble,H04
25740,unchanged order,H04
25741,wrong order,H04
25742,1 bromopropane,C09
25743,alkoxy pyrrolidone,C09
25744,alkoxy silicones,C09
25745,alkyl halide,C09
25746,anti markovnikov product,C09
25747,bond between friends,C09
25748,ch3ch2ch2br,C09
25749,garden compound,C09
25750,inorganic halide,C09
25751,isopropyl functional group,C09
25752,n propylbromide,C09
25753,nabr,C09
25754,nonflammable solvent,C09
25755,organic synthesis,C09
25756,organobromine compound,C09
25757,pyrrolidone,C09
25758,silicones,C09
25759,sodium bromide,C09
25760,structure of a tower,C09
25761,1 bromopropane,C10
25762,acetamide,C10
25763,acetamide pyrrolidone,C10
25764,alkyl halide,C10
25765,anti markovnikov product,C10
25766,bond between friends,C10
25767,butyl acetamide,C10
25768,butyl acetamide pyrrolidone,C10
25769,butyl pyrrolidone,C10
25770,ch3ch2ch2br,C10
25771,colorless liquid,C10
25772,ethyl bromide,C10
25773,ethyl chloride,C10
25774,garden compound,C10
25775,heptane,C10
25776,heptane pyrrolidone,C10
25777,hexane,C10
25778,inorganic halide,C10
25779,isopropyl functional group,C10
25780,n propylbromide,C10
25781,nabr,C10
25782,nonflammable solvent,C10
25783,organic synthesis,C10
25784,organobromine compound,C10
25785,propyl chloride,C10
25786,propyl chloride bromide,C10
25787,pyrrolidone,C10
25788,sodium bromide,C10
25789,structure of a tower,C10
25790,bromide,C11
25791,butyl bromide,C11
25792,butyl chloride,C11
25793,methyl bromide,C11
25794,methyl iodide,C11
25795,methyl pyrrolidone,C11
25796,propanol,C11
25797,propyl butyl bromide,C11
25798,propyl chloride,C11
25799,propyl propanol,C11
25800,pyrrolidone,C11
25801,butyl,C23
25802,butyl alcohol,C23
25803,butyl alcohol ethyl,C23
25804,butyl hexane,C23
25805,butyl hexane ethyl,C23
25806,ethyl alcohol,C23
25807,ethyl alcohol ethyl,C23
25808,ethyl hexane,C23
25809,ethyl hexane ethyl,C23
25810,heptane,C23
25811,heptane alcohol,C23
25812,heterocyclic,C23
25813,heterocyclic acid,C23
25814,hexane,C23
25815,hexane alcohol,C23
25816,hydroxy,C23
25817,hydroxy acid,C23
25818,oxide,C23
25819,additional component,A46
25820,appliance,A46
25821,baking protocol,A46
25822,blood component,A46
25823,circuit,A46
25824,cleaning components,A46
25825,deep cleansing protocol component,A46
25826,electronic component,A46
25827,hygiene protocol,A46
25828,l facial hair protocol component,A46
25829,oscillating brush,A46
25830,protocol data,A46
25831,protocol elements,A46
25832,protocol library builder,A46
25833,protocol parts,A46
25834,protocol violation,A46
25835,routing protocol,A46
25836,secure protocols,A46
25837,selector,A46
25838,sensor,A46
25839,treatment protocol,A46
25840,vector component,A46
25841,assessment data editor,H04
25842,assessment year,H04
25843,automatically defend networks,H04
25844,component,H04
25845,component testing,H04
25846,components of protocol,H04
25847,different component,H04
25848,different components,H04
25849,emergency protocol,H04
25850,food components,H04
25851,friday protocol,H04
25852,gateway host,H04
25853,header,H04
25854,interface,H04
25855,interface component,H04
25856,marginal gateway protocol,H04
25857,messaging product,H04
25858,network interface,H04
25859,network node,H04
25860,network protocol,H04
25861,network without rules,H04
25862,no rules for the receivers,H04
25863,protocol,H04
25864,protocol component based,H04
25865,protocol components,H04
25866,protocol deviation,H04
25867,protocol handler,H04
25868,protocol module,H04
25869,routing protocol component,H04
25870,timing,H04
25871,wireless interface,H04
25872,asymmetric code,H03
25873,base,H03
25874,base graph,H03
25875,base matrix,H03
25876,basic graph,H03
25877,binary decomposition,H03
25878,bipartite graph,H03
25879,bipartite protograph,H03
25880,code burner,H03
25881,coding framework,H03
25882,compatible chair,H03
25883,decomposition material,H03
25884,designing protograph,H03
25885,emission test,H03
25886,error code generation,H03
25887,fibonacci code,H03
25888,food pyramid,H03
25889,graph,H03
25890,hierarchical algorithm,H03
25891,low thresholds,H03
25892,matrices,H03
25893,non systematic variable,H03
25894,pay graph,H03
25895,proto graph,H03
25896,protograph based low density parity check,H03
25897,rate compatible,H03
25898,rate compatible protograph,H03
25899,vehicle detection,H03
25900,acknowledgement messages,H01
25901,acknowledgement packet,H01
25902,acknowledgement response message,H01
25903,acknowledgement signal,H01
25904,binding acknowledgement message,H01
25905,connection acknowledgement,H01
25906,connection establishment,H01
25907,data frame,H01
25908,liveness message,H01
25909,negative acknowledgement,H01
25910,null data,H01
25911,positive acknowledgement,H01
25912,provide for tuning,H01
25913,provide noun,H01
25914,provide restoring force,H01
25915,provided data,H01
25916,provided for acknowledgement signaling,H01
25917,provider networks,H01
25918,providing ack,H01
25919,reply,H01
25920,retrieve acknowledgement response,H01
25921,server message,H01
25922,sms acknowledgement,H01
25923,undersigned receipt,H01
25924,airport terminal,H04
25925,arm without connector,H04
25926,beam without connector,H04
25927,cabinet framed without connector,H04
25928,data providing terminal,H04
25929,device terminal,H04
25930,electric terminal,H04
25931,mobile phone,H04
25932,provide by return,H04
25933,provide by user terminals,H04
25934,provide food,H04
25935,provide shelter,H04
25936,provide to input terminals,H04
25937,provide using terminal,H04
25938,provide via terminals,H04
25939,provide with terminals,H04
25940,provided by device,H04
25941,provided to terminal,H04
25942,provides a delivery terminal,H04
25943,provision by terminals,H04
25944,reference voltage,H04
25945,refuse by terminals,H04
25946,terminal velocity,H04
25947,window terminal,H04
25948,anchoring screw,B61
25949,arrange car,B61
25950,car,B61
25951,car payment system,B61
25952,car width,B61
25953,couple to elevator car,B61
25954,empty car,B61
25955,locomotive monitoring system,B61
25956,optical work gang warning installation,B61
25957,produce car,B61
25958,provide a car,B61
25959,provide car,B61
25960,provide eye relief,B61
25961,provide in car,B61
25962,provide medical care,B61
25963,provide oil,B61
25964,provide transport,B61
25965,provide vacuum,B61
25966,provide vehicle,B61
25967,provide with car,B61
25968,railway track field element,B61
25969,scotch blocks,B61
25970,supply car,B61
25971,toy car,B61
25972,vehicle train,B61
25973,wheel car,B61
25974,balanced tuned circuits,H01
25975,frequency band,H01
25976,frequency tuning,H01
25977,guitar tuning,H01
25978,high frequency,H01
25979,low bandwidth,H01
25980,mean for tuning,H01
25981,musical tuning,H01
25982,provide fine tuning,H01
25983,provide for feed,H01
25984,provide for heating,H01
25985,provide for reasons,H01
25986,provide for time period,H01
25987,provide tuning,H01
25988,provident insurance,H01
25989,resonant circuit,H01
25990,signal generator,H01
25991,transmitter,H01
25992,tunable filter,H01
25993,tunable frequency matching,H01
25994,tunable matching circuit,H01
25995,turning machine,H01
25996,turning point,H01
25997,u turn,H01
25998,use for tuning,H01
25999,variable antenna,H01
26000,variable tuner,H01
26001,area,C04
26002,bengal grams,C04
26003,bulk,C04
26004,depict in mass,C04
26005,dose,C04
26006,grams,C04
26007,length,C04
26008,mass population,C04
26009,milligrams,C04
26010,perimeter,C04
26011,proportion,C04
26012,provide amounts,C04
26013,provide in quantity,C04
26014,provide in weight,C04
26015,provide in weights,C04
26016,represent in grams,C04
26017,score,C04
26018,show in milligrams,C04
26019,volume,C04
26020,weightlifting,C04
26021,abolish force,E01
26022,air force service,E01
26023,elastic restoring force,E01
26024,equilibrium position,E01
26025,generate restoring force,E01
26026,give recovery force,E01
26027,harmonic oscillations,E01
26028,money recovery,E01
26029,pendulum,E01
26030,provide component,E01
26031,provide elastic force,E01
26032,provide elastic return force,E01
26033,provide reset force,E01
26034,provide resilient force,E01
26035,provide restoration force,E01
26036,recovering force,E01
26037,restoring a app,E01
26038,restoring algorithm,E01
26039,restoring division,E01
26040,restoring force,E01
26041,restoring spring force,E01
26042,return force,E01
26043,additional force,G11
26044,antique restoration,G11
26045,biasing force,G11
26046,deforming force,G11
26047,elastic force,G11
26048,elastic reaction force,G11
26049,elastic restoring force,G11
26050,equilibrium,G11
26051,frictional force,G11
26052,generate restoring force,G11
26053,generation time,G11
26054,provide feedback,G11
26055,provide medical care,G11
26056,recovering force,G11
26057,resilient force,G11
26058,restore contacts,G11
26059,restoring force,G11
26060,restoring spring force,G11
26061,return force,G11
26062,spring force,G11
26063,spring season,G11
26064,torques,G11
26065,broadband access network,H04
26066,business network,H04
26067,centers,H04
26068,client network,H04
26069,client router,H04
26070,data delivery network,H04
26071,global network performance,H04
26072,health provider,H04
26073,internet provider,H04
26074,ip provider networks,H04
26075,locations,H04
26076,media network,H04
26077,mtc capillary networks,H04
26078,networks,H04
26079,provider,H04
26080,provider configured,H04
26081,provider network,H04
26082,provider network management,H04
26083,provider network ns,H04
26084,provider ns,H04
26085,provider system,H04
26086,providers,H04
26087,providers configured,H04
26088,providers network,H04
26089,providers network ns,H04
26090,providers networks,H04
26091,server network,H04
26092,service provider,H04
26093,service provider networks,H04
26094,social network,H04
26095,third party network,H04
26096,audio signal,G06
26097,broad audio power,G06
26098,energy strength and variations,G06
26099,frequencies variations,G06
26100,frequency,G06
26101,frequency distortion,G06
26102,function of frequency,G06
26103,function room,G06
26104,functional frequency,G06
26105,functional programming,G06
26106,functional testing,G06
26107,functions of photoshop,G06
26108,margin variation,G06
26109,periodic signal frequency,G06
26110,power distribution,G06
26111,power source,G06
26112,power spectral density function,G06
26113,psd,G06
26114,psd sensor,G06
26115,psd to jpg,G06
26116,total signal power,G06
26117,use psd,G06
26118,body transform,G07
26119,broadband random signals,G07
26120,digital communication,G07
26121,energy functions,G07
26122,energy variation,G07
26123,fourier analysis,G07
26124,fourier transform,G07
26125,function arrangement,G07
26126,function mode,G07
26127,function of car,G07
26128,function of frequency,G07
26129,functional group,G07
26130,power spectral density,G07
26131,power spectral density function,G07
26132,power spectrum,G07
26133,psd,G07
26134,psd file,G07
26135,psd sensor,G07
26136,signal processing,G07
26137,signals,G07
26138,time series,G07
26139,use psd,G07
26140,vibration analysis,G07
26141,fluid,B02
26142,fluid apparatus,B02
26143,fluid device,B02
26144,fluid device apparatus,B02
26145,fluid forming apparatus,B02
26146,fluid forming machine,B02
26147,fluid machine,B02
26148,headbox,B02
26149,papermaking apparatus,B02
26150,papermaking machine,B02
26151,pipe,B02
26152,pulper,B02
26153,pulping,B02
26154,pulping device,B02
26155,pulping device apparatus,B02
26156,pulping liquor,B02
26157,pulping liquors,B02
26158,shaft,B02
26159,blades,D06
26160,fabric,D06
26161,grinder,D06
26162,heart palpitations,D06
26163,image forming apparatus,D06
26164,industry,D06
26165,laboratory apparatus,D06
26166,mill,D06
26167,mixing,D06
26168,pulp,D06
26169,pulp cavity,D06
26170,pulp machine,D06
26171,pulp mill,D06
26172,pulper,D06
26173,pulping equipment,D06
26174,pulping liquor,D06
26175,pulping machine,D06
26176,pulping method,D06
26177,pulping operation,D06
26178,pulping process,D06
26179,pulping system,D06
26180,recycling,D06
26181,rotor,D06
26182,signal processing apparatus,D06
26183,blades,D21
26184,breathing apparatus,D21
26185,disposal apparatus,D21
26186,disposal system,D21
26187,disposer,D21
26188,fabric,D21
26189,fiber material,D21
26190,firefighting apparatus,D21
26191,fruit pulp,D21
26192,industry,D21
26193,laboratory apparatus,D21
26194,material pulping apparatus,D21
26195,material pulping system,D21
26196,paper machine,D21
26197,paper manufacturing,D21
26198,paper pulping apparatus,D21
26199,paper pulping system,D21
26200,paper recycling apparatus,D21
26201,paper recycling system,D21
26202,paper system,D21
26203,processor,D21
26204,pulp cavity,D21
26205,pulp machine,D21
26206,pulp preparation process,D21
26207,pulp washing,D21
26208,pulping liquors,D21
26209,pulping machinary,D21
26210,pulping machine,D21
26211,pulping method,D21
26212,pulping operation,D21
26213,pulping process,D21
26214,pulping system,D21
26215,rotor,D21
26216,shredder,D21
26217,treatment apparatus,D21
26218,treatment system,D21
26219,wet pulp,D21
26220,wood chips,D21
26221,analog modulation circuit,G02
26222,clock,G02
26223,control,G02
26224,control signal pulse,G02
26225,controller module,G02
26226,digital modulation control signal,G02
26227,generate control pulse,G02
26228,gesture control,G02
26229,input,G02
26230,modulation controller,G02
26231,pulse control,G02
26232,pulse control signals,G02
26233,pulse duration modulation,G02
26234,pulse oximeter,G02
26235,pulse rate,G02
26236,pulse wave measuring,G02
26237,pulse width control,G02
26238,pulse width control circuit,G02
26239,pulse width control signal,G02
26240,pulse width demodulation,G02
26241,pulse width modulation,G02
26242,pulse width modulation control,G02
26243,pulse width modulation controller,G02
26244,pulse width modulation speed control,G02
26245,pulses,G02
26246,variable width pulses,G02
26247,variable width pulses controller,G02
26248,voice control,G02
26249,wall width,G02
26250,width control circuit,G02
26251,width of table,G02
26252,applied energy,C10
26253,applied pulses,C10
26254,plasma,C10
26255,pulse,C10
26256,pulse plasma,C10
26257,pulse plasmas,C10
26258,pulsed,C10
26259,pulsed electromagnetic energy,C10
26260,pulsed electromagnetic field,C10
26261,pulsed energy,C10
26262,pulsed energy field,C10
26263,pulsed plasma source,C10
26264,pulsed plasmas,C10
26265,pulsed source,C10
26266,pulses,C10
26267,continous plasma,F03
26268,continuous plasma,F03
26269,dc plasma jet,F03
26270,downstream plasma source,F03
26271,farming field,F03
26272,high source power,F03
26273,jet lag,F03
26274,plasma cell,F03
26275,plasma jet engine,F03
26276,plasma technique,F03
26277,pulse oximeter,F03
26278,pulse oxymeter,F03
26279,pulse plasma,F03
26280,pulsed eddy current testing,F03
26281,pulsed field,F03
26282,pulsed inductive,F03
26283,pulsed plasma thruster,F03
26284,continuous plasma,H05
26285,continuous plasma beam,H05
26286,current pulse,H05
26287,low plasma potential,H05
26288,low power plasma,H05
26289,magnetic field,H05
26290,magnetic flow,H05
26291,plasma,H05
26292,plasma etching,H05
26293,plasma jet engine,H05
26294,plasma pulse,H05
26295,plasma pulser circuit,H05
26296,plasma rocket,H05
26297,plasma thruster,H05
26298,plasma transplantation,H05
26299,propulsive field,H05
26300,propulsive flow,H05
26301,pulse oximeter,H05
26302,pulse plasma,H05
26303,pulse power,H05
26304,pulsed electric discharge,H05
26305,pulsed laser,H05
26306,pulsed plasma thruster,H05
26307,radio frequency plasma,H05
26308,thrust,H05
26309,vortex,H05
26310,vortex mixer,H05
26311,coating material,B22
26312,component,B22
26313,granular coating material,B22
26314,granular composition,B22
26315,granular material,B22
26316,liquid,B22
26317,liquid composition,B22
26318,liquid material,B22
26319,paste,B22
26320,powder,B22
26321,powder component,B22
26322,powder material,B22
26323,pulverulent component,B22
26324,additives,F23
26325,air,F23
26326,air duct,F23
26327,air vent,F23
26328,cattle feed,F23
26329,feed material,F23
26330,fine particles,F23
26331,gas,F23
26332,gaseous material,F23
26333,gases,F23
26334,granular form,F23
26335,granular material,F23
26336,granules,F23
26337,material culture,F23
26338,material icons,F23
26339,materials,F23
26340,mechanical device,F23
26341,metal detector,F23
26342,particulate,F23
26343,particulate material,F23
26344,powder form,F23
26345,powder like material,F23
26346,powdered material,F23
26347,powdered materials,F23
26348,powdered substances,F23
26349,pulverulent,F23
26350,solid materials,F23
26351,clothing material,G01
26352,heavy material,G01
26353,list of material,G01
26354,material,G01
26355,material parameter,G01
26356,nanoparticle,G01
26357,oscillating drive,G01
26358,powdery material,G01
26359,pulverulent cataract,G01
26360,pulverulent composition,G01
26361,pulverulent crossword,G01
26362,residue pulverulent material,G01
26363,silky material,G01
26364,single application mode,G01
26365,sleeve,G01
26366,sleeve member,G01
26367,sleeve members,G01
26368,solid mixture,G01
26369,spring member,G01
26370,spring members,G01
26371,unified buffer memory,G01
26372,unified dimensions,G01
26373,vitreous cellular material,G01
26374,base plate,B05
26375,face cream,B05
26376,face expression,B05
26377,face mask,B05
26378,face punch,B05
26379,face shield,B05
26380,piston,B05
26381,punch,B05
26382,punch biopsy,B05
26383,punch end face,B05
26384,punch faces,B05
26385,punch first face,B05
26386,punch first surface,B05
26387,punch plate,B05
26388,punch surface,B05
26389,punch surfaces,B05
26390,punch tool face,B05
26391,punched card,B05
26392,punched face,B05
26393,punching,B05
26394,punching face,B05
26395,punching mechanism,B05
26396,punching rod,B05
26397,spraying face,B05
26398,base plate,B21
26399,face cream,B21
26400,face punch,B21
26401,face recognition software,B21
26402,face shield,B21
26403,mandrel,B21
26404,non swarf producing device,B21
26405,punch,B21
26406,punch biopsy,B21
26407,punch end face,B21
26408,punch face,B21
26409,punch faces,B21
26410,punch lip,B21
26411,punch machine,B21
26412,punch out software,B21
26413,punch out theory,B21
26414,punch plate,B21
26415,punch tool face,B21
26416,punching face,B21
26417,punching mechanism,B21
26418,punching rod,B21
26419,punching system,B21
26420,rolled metal sheet,B21
26421,rotary rewinder,B21
26422,stripper lip,B21
26423,bypass lever,B60
26424,carburetter in a motorcycle,B60
26425,ejecting,B60
26426,eye dancing pin syndrome,B60
26427,manual shift transmission,B60
26428,operational pin,B60
26429,pin code,B60
26430,pin syndrome,B60
26431,pinpoint,B60
26432,piston pressing member,B60
